,ref_id,ra,dec,filename,exp_num,image_id,r50,sersic_n_gim2d,flux,flux_error,aperture_a,aperture_b,aperture_theta,psf_fwhm,filter,aperture_x,aperture_y,I_auto
306,19179,150.49486,1.905643,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,17.4313,0.69331,-0.849102,2.04683,1.31868,0.996384,-84.973,1.18573,NB685,1639.23,283.578,22.359
307,19232,150.49265,1.899523,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,17.0055,3.8188,3.68924,2.24268,1.30399,1.1822,13.0118,1.18573,NB685,1723.48,253.577,20.711
308,18692,150.49899,1.944129,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,30.3799,0.96706,12.789,2.41861,1.46856,1.1162,-69.3681,1.18573,NB685,1105.92,335.329,21.22
309,19110,150.49287,1.912229,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,24.6077,0.80719,7.35878,2.23341,1.29103,1.15638,-2.9714,1.18573,NB685,1547.57,254.891,21.184
310,18808,150.49469,1.9363,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,23.0115,0.59804,1.58742,2.00813,1.25421,0.933752,4.1019,1.18573,NB685,1213.81,276.577,22.43
311,19092,150.48953,1.914035,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,14.2075,3.1512,3.07396,2.06327,1.21272,1.08204,71.1058,1.18573,NB685,1521.79,207.997,21.67
312,18966,150.4883,1.918103,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,26.9949,1.5724,4.03951,2.69745,1.64826,1.27613,-15.5282,1.18573,NB685,1465.09,190.201,21.271
313,18841,150.4886,1.934306,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,7.88082,3.2441,1.16075,1.82068,1.02807,0.908766,56.4992,1.18573,NB685,1240.06,191.785,22.194
314,18767,150.48785,1.937437,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,19.911,2.8039,4.78154,2.49272,1.40385,1.29807,-67.0307,1.18573,NB685,1196.32,180.76,21.225
315,18768,150.48747,1.936493,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,65.2261,0.90891,17.4035,3.86744,2.64028,1.50497,-46.5799,1.18573,NB685,1209.36,175.607,20.796
316,18766,150.48768,1.939825,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,25.8589,0.60517,5.60763,2.05317,1.34003,0.86981,-64.035,1.18573,NB685,1163.04,177.966,21.919
317,18925,150.48253,1.929359,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,7.19854,1.4887,5.93543,1.61903,0.882146,0.848236,88.4125,1.18573,NB685,1307.38,107.695,22.359
318,18631,150.48362,1.950405,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,27.9368,1.1968,12.006,2.2828,1.40146,1.03462,18.8206,1.18573,NB685,1014.56,119.19,20.468
319,19432,150.52061,1.884897,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,17.2678,0.67172,2.97641,2.16079,1.10193,1.06068,-34.9233,1.18573,NB685,1930.82,644.131,22.106
320,19462,150.51747,1.882647,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,25.6013,1.7392,-3.85436,2.43736,1.32732,0.948593,-88.5907,1.18573,NB685,1961.28,600.796,22.42
321,19313,150.51275,1.892986,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,9.16837,2.6153,2.11104,1.91586,1.05874,1.02907,50.0073,1.18573,NB685,1817.79,534.165,22.292
322,19387,150.50996,1.887957,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,30.55,0.24371,5.29697,2.28599,1.47196,0.933151,18.9443,1.18573,NB685,1886.69,495.956,21.651
323,19297,150.49659,1.894852,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,36.7507,1.0123,12.9792,2.56757,1.66723,1.21917,6.1182,1.18573,NB685,1788.88,309.104,20.801
324,19447,150.48464,1.882638,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,21.9764,0.92741,-134.413,2.04443,1.21919,0.968047,-59.8536,1.18573,NB685,1955.31,143.968,21.126
325,34840,150.48377,2.010596,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,48.4502,0.76397,15.8854,2.75801,2.05304,0.919796,-80.9419,1.18573,NB685,170.489,108.056,20.187
326,34994,150.48247,2.001733,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,6.80078,2.4857,4.35158,1.87945,0.983157,0.937057,71.9725,1.18573,NB685,294.971,91.9564,22.056
